run_id,original_path,terrain_name,terrain_height_cm,contact_timing_bias_s,repeat_idx,startup_valid,late_stabilization,secondary_label,start_z,end_z,delta_z,forward_progress,duration_executed,success,task_completion_success,filter_pass,exclusion_reason
20260412_000656_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_000656_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r07,ocs2_stepdown_9cm,9.0,0.07,7,True,False,,0.2822,0.3112,0.029,1.0401,8.6212,False,False,True,
20260412_000717_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_000717_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r08,ocs2_stepdown_9cm,9.0,0.07,8,True,False,,0.2739,0.3379,0.0639,3.038,22.0019,True,True,True,
20260412_000752_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_000752_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r09,ocs2_stepdown_9cm,9.0,0.07,9,True,False,,0.1675,0.1008,-0.0667,0.0199,22.0023,True,True,False,low_progress
20260412_000827_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_000827_ocs2_stepdown_9cm_ctp007_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp007_r10,ocs2_stepdown_9cm,9.0,0.07,10,True,False,,0.2724,0.3123,0.0399,1.043,8.6812,False,False,True,
20260412_000849_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_000849_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r01,ocs2_stepdown_9cm,9.0,0.08,1,True,False,,0.2749,0.3373,0.0624,3.091,22.0031,True,True,True,
20260412_000924_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_000924_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r02,ocs2_stepdown_9cm,9.0,0.08,2,True,False,,0.1632,0.1009,-0.0624,0.0191,22.0032,True,True,False,low_progress
20260412_000959_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_000959_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r03,ocs2_stepdown_9cm,9.0,0.08,3,True,False,,0.2776,0.337,0.0595,2.9088,22.0025,True,True,True,
20260412_001034_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001034_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r04,ocs2_stepdown_9cm,9.0,0.08,4,True,False,,0.2786,0.3368,0.0583,3.1492,22.0034,True,True,True,
20260412_001109_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001109_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r05,ocs2_stepdown_9cm,9.0,0.08,5,True,False,,0.0002,0.1928,0.1926,2.984,22.0022,True,True,True,
20260412_001144_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001144_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r06,ocs2_stepdown_9cm,9.0,0.08,6,True,False,,0.281,0.3375,0.0565,3.0727,22.0028,True,True,True,
20260412_001219_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001219_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r07,ocs2_stepdown_9cm,9.0,0.08,7,True,False,,0.2714,0.3379,0.0665,2.9215,22.0021,True,True,True,
20260412_001254_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r08,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001254_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r08,ocs2_stepdown_9cm,9.0,0.08,8,True,False,,0.2772,0.337,0.0598,3.2895,22.0027,True,True,True,
20260412_001329_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001329_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r09,ocs2_stepdown_9cm,9.0,0.08,9,True,False,,0.2785,0.3198,0.0413,0.9937,8.2609,False,False,True,
20260412_001350_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001350_ocs2_stepdown_9cm_ctp008_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp008_r10,ocs2_stepdown_9cm,9.0,0.08,10,True,False,,0.2792,0.3373,0.0581,3.0043,22.0034,True,True,True,
20260412_001425_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260412_001425_ocs2_stepdown_9cm_ctp009_height_only_nominal_v1_contactflagbias_batch_9cm_ocs2_stepdown_9cm_ctp009_r01,ocs2_stepdown_9cm,9.0,0.09,1,True,False,,0.2787,0.3354,0.0567,3.222,22.0046,True,True,True,
