run_id,original_path,exclusion_reason,secondary_label,detail
20260410_235350_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r05,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235350_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r05,short_duration,,duration_executed=6.1605
20260410_235408_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235408_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r06,low_progress,,low_progress:0.0205
20260410_235442_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r07,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235442_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r07,short_duration,,duration_executed=5.7806
20260410_235525_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r09,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235525_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r09,short_duration,,duration_executed=6.9007
20260410_235544_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r10,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235544_ocs2_stepdown_ctp012_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp012_r10,low_progress,,low_progress:0.0222
20260410_235618_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r01,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235618_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r01,low_progress,,low_progress:-0.8393
20260410_235639_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r02,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235639_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r02,short_duration,,duration_executed=6.9808
20260410_235658_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r03,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235658_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r03,short_duration,,duration_executed=6.6207
20260410_235717_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r04,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235717_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r04,low_progress,,low_progress:-0.8050
20260410_235758_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r06,/home/ho/ros2_ws/src/quadruped_ros2_control/evaluation/go2_terrain_eval/results/20260410_235758_ocs2_stepdown_ctp015_height_only_nominal_v1_contactflagbias_batch_5cm_ocs2_stepdown_ctp015_r06,short_duration,,duration_executed=5.7607
