terrain_height_cm,contact_timing_bias_s,n_runs,n_runs_total,n_runs_excluded,success_rate,stable_rate,unstable_rate,fail_rate,outcome_majority,startup_valid_rate,late_stabilization_rate,end_only_stabilized_count,end_only_stabilized_rate_total,end_only_stabilized_rate_excluded,forward_progress_mean,forward_progress_std,lateral_progress_mean,lateral_progress_std,roll_rms_mean,roll_rms_std,pitch_rms_mean,pitch_rms_std,yaw_rms_mean,yaw_rms_std,yaw_change_deg_mean,yaw_change_deg_std,duration_mean,duration_std,time_to_failure_mean,time_to_failure_std,min_base_z_mean,min_base_z_std,base_z_std_mean,base_z_std_std,startup_gait_body_frame_forward_progress_mean,startup_gait_body_frame_forward_progress_std,distance_xy_mean,distance_xy_std,mean_forward_velocity_mean,mean_forward_velocity_std,start_z_mean,start_z_std,end_z_mean,end_z_std,delta_z_mean,delta_z_std,obs_state_norm_mean,opt_state_norm_mean,obs_input_norm_mean,opt_input_norm_mean,obs_contact_mean_fl,obs_contact_mean_fr,obs_contact_mean_rl,obs_contact_mean_rr,plan_contact_mean_fl,plan_contact_mean_fr,plan_contact_mean_rl,plan_contact_mean_rr,planned_mode_mode,obs_mode_mode
3.0,0.07,10,10,0,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,,2.5943,0.0584,0.0751,0.0936,1.0449,0.0302,1.7691,0.0695,0.8922,0.4855,0.8652,1.2078,22.0033,0.0006,,,0.1366,0.06,0.0235,0.0057,-0.0254,0.005,2.5971,0.0573,0.118,0.0026,0.1101,0.1346,0.2253,0.1147,0.1151,0.0433,4.0141,4.0175,107.1715,107.1786,0.0,0.0,0.0,0.0,0.6377,0.638,0.638,0.6377,9,0
3.0,0.08,10,10,0,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,,2.7611,0.0461,0.1363,0.1987,1.3503,0.0491,2.1771,0.1268,1.2743,0.6817,1.6593,1.5545,22.0033,0.0013,,,0.1498,0.0666,0.0225,0.0062,-0.0284,0.0056,2.7716,0.0467,0.126,0.0021,0.1393,0.1389,0.3003,0.0988,0.161,0.1126,4.0899,4.0941,110.4006,110.4076,0.0,0.0,0.0,0.0,0.6378,0.6373,0.6373,0.6378,9,0
3.0,0.09,9,10,1,0.7778,0.7778,0.0,0.2222,stable,1.0,0.0,0,0.0,0.0,2.6217,0.7141,0.1638,0.3907,1.8345,0.24,3.0021,0.4626,2.3498,1.5751,2.6338,3.7636,19.0757,5.4768,8.8196,0.232,0.148,0.0587,0.0246,0.0053,-0.0405,0.0047,2.6515,0.7294,0.14,0.0051,0.2457,0.0872,0.3118,0.102,0.0661,0.0264,4.1268,4.1317,115.6185,115.6287,0.0,0.0,0.0,0.0,0.646,0.6416,0.6416,0.646,6,0
3.0,0.1,7,10,3,0.5714,0.5714,0.0,0.4286,stable,1.0,0.0,0,0.0,0.0,2.5491,1.1019,-0.2039,0.7748,3.9038,3.7818,4.9207,2.0402,5.2292,4.3252,2.9374,8.9308,16.8826,6.1043,10.0511,2.3143,0.1588,0.0666,0.0309,0.0159,-0.0508,0.0039,2.6836,1.0735,0.1555,0.0208,0.2393,0.0983,0.292,0.0826,0.0527,0.0869,4.1936,4.1993,129.4372,129.4541,0.0,0.0,0.0,0.0,0.6488,0.6402,0.6402,0.6488,9,0
3.0,0.12,8,10,2,0.375,0.125,0.25,0.625,fail,1.0,0.0,0,0.0,0.0,1.8974,0.7938,0.3296,0.6442,9.5732,3.9353,9.2213,1.5173,16.3365,9.5907,-11.0562,22.201,15.665,5.3598,11.8491,2.7178,0.1166,0.0,0.0579,0.0106,-0.0745,0.0072,2.0397,0.7704,0.1306,0.0282,0.2442,0.0921,0.2073,0.1037,-0.0369,0.0911,4.1682,4.1756,164.4188,164.4603,0.0,0.0,0.0,0.0,0.6412,0.6252,0.6252,0.6412,9,0
3.0,0.15,1,10,9,0.0,0.0,0.0,1.0,fail,1.0,0.0,0,0.0,0.0,1.9728,0.0,0.6838,0.0,8.6117,0.0,9.705,0.0,15.1839,0.0,12.4759,0.0,18.0219,0.0,18.0176,0.0,0.1166,0.0,0.0517,0.0,-0.1338,0.0,2.0879,0.0,0.1159,0.0,0.2792,0.0,0.2401,0.0,-0.0391,0.0,4.36,4.3685,176.3533,176.3885,0.0,0.0,0.0,0.0,0.5806,0.582,0.582,0.5806,6,0
5.0,0.0,9,11,2,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,1.4287,0.021,0.0448,0.0185,0.7045,0.0264,0.9178,0.0578,1.9773,0.3453,3.0037,0.5426,22.0021,0.0004,,,0.2159,0.1107,0.0148,0.0087,-0.0081,0.0018,1.4296,0.0207,0.065,0.0009,0.1258,0.1398,0.1895,0.1464,0.0637,0.0127,3.5778,3.5788,99.8468,99.8537,0.0,0.0,0.0,0.0,0.6376,0.6375,0.6375,0.6376,9,0
5.0,0.05,10,11,1,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,2.2486,0.115,0.013,0.1256,0.8395,0.0217,1.3569,0.1324,1.299,1.8911,-0.508,3.0042,22.0021,0.0003,,,0.1368,0.06,0.0221,0.0051,-0.0169,0.0032,2.2524,0.1094,0.1024,0.005,0.1689,0.138,0.2425,0.1371,0.0736,0.0268,3.7924,3.7946,103.9922,103.9992,0.0,0.0,0.0,0.0,0.6377,0.6369,0.6369,0.6377,9,0
5.0,0.07,10,13,3,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,2.7088,0.0247,0.3148,0.1688,1.2637,0.0217,2.0655,0.0436,1.8796,0.4583,2.6284,1.6105,22.0022,0.0003,,,0.1167,0.0003,0.0252,0.0017,-0.0249,0.0028,2.7322,0.0263,0.1242,0.0012,0.0282,0.0847,0.2862,0.1173,0.258,0.1311,3.9764,3.9799,110.3048,110.3115,0.0,0.0,0.0,0.0,0.6369,0.637,0.637,0.6369,9,0
5.0,0.08,10,11,1,1.0,1.0,0.0,0.0,stable,1.0,0.0,0,0.0,0.0,2.8994,0.0996,-0.3379,0.6429,1.5922,0.1561,2.5662,0.4618,2.9046,3.4627,0.3127,6.3086,22.0022,0.0003,,,0.1498,0.0627,0.0236,0.0058,-0.0264,0.004,2.9881,0.1233,0.1358,0.0056,0.2814,0.0009,0.3528,0.0006,0.0714,0.0015,4.0752,4.079,114.7184,114.7264,0.0,0.0,0.0,0.0,0.6371,0.637,0.637,0.6371,9,0
