terrain 1.0 cm
  d=0.0900s | n=8/10 | outcome=stable | success=0.7500 | stable=0.7500 | fail=0.2500 | end_only=0 (0.0000) | fwd=2.6461 | lat=0.1407 | roll=2.0814 | pitch=3.7049 | ttf=8.1819
  d=0.1000s | n=6/10 | outcome=stable | success=0.6667 | stable=0.6667 | fail=0.3333 | end_only=0 (0.0000) | fwd=2.5961 | lat=0.3734 | roll=4.8924 | pitch=5.8481 | ttf=10.0179
  d=0.1200s | n=8/10 | outcome=fail | success=0.3750 | stable=0.0000 | fail=0.6250 | end_only=0 (0.0000) | fwd=2.1821 | lat=-0.2866 | roll=9.5441 | pitch=7.8495 | ttf=13.3733
  d=0.1500s | n=0/10 | outcome=none | success=- | stable=- | fail=- | end_only=0 (0.0000) | fwd=- | lat=- | roll=- | pitch=- | ttf=-

terrain 9.0 cm
  d=0.0000s | n=10/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=1.5396 | lat=0.0246 | roll=0.9244 | pitch=0.8904 | ttf=-
  d=0.0500s | n=9/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=2.2059 | lat=0.1486 | roll=1.0829 | pitch=1.4982 | ttf=-
  d=0.0700s | n=9/10 | outcome=stable | success=0.6667 | stable=0.6667 | fail=0.3333 | end_only=0 (0.0000) | fwd=2.2549 | lat=0.0687 | roll=1.9707 | pitch=3.0760 | ttf=8.7602
  d=0.0800s | n=9/10 | outcome=stable | success=0.8889 | stable=0.7778 | fail=0.1111 | end_only=0 (0.0000) | fwd=2.8239 | lat=0.2450 | roll=2.4886 | pitch=4.1035 | ttf=8.2546
  d=0.0900s | n=8/10 | outcome=stable | success=0.8750 | stable=0.8750 | fail=0.1250 | end_only=0 (0.0000) | fwd=2.8152 | lat=0.0313 | roll=3.0598 | pitch=4.6446 | ttf=10.4401
  d=0.1000s | n=5/10 | outcome=stable | success=1.0000 | stable=1.0000 | fail=0.0000 | end_only=0 (0.0000) | fwd=3.1858 | lat=0.1628 | roll=2.3474 | pitch=4.3828 | ttf=-
  d=0.1200s | n=1/10 | outcome=fail | success=0.0000 | stable=0.0000 | fail=1.0000 | end_only=0 (0.0000) | fwd=1.6094 | lat=0.0425 | roll=18.8665 | pitch=9.1119 | ttf=9.2732
  d=0.1500s | n=0/10 | outcome=none | success=- | stable=- | fail=- | end_only=0 (0.0000) | fwd=- | lat=- | roll=- | pitch=- | ttf=-
