terrain_height_cm,contact_timing_bias_s,n_runs,n_runs_total,n_runs_excluded,outcome_majority,success_rate,stable_rate,unstable_rate,fail_rate,startup_valid_rate,late_stabilization_rate,end_only_stabilized_count,end_only_stabilized_rate_total,end_only_stabilized_rate_excluded,forward_progress_mean,forward_progress_std,lateral_progress_mean,lateral_progress_std,roll_rms_mean,roll_rms_std,pitch_rms_mean,pitch_rms_std,yaw_rms_mean,yaw_rms_std,duration_mean,duration_std,time_to_failure_mean,time_to_failure_std,min_base_z_mean,min_base_z_std,start_z_mean,end_z_mean,delta_z_mean,obs_state_norm_mean,opt_state_norm_mean,obs_input_norm_mean,opt_input_norm_mean,planned_mode_mode,obs_mode_mode
5.0,0.07,10,13,3,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2.7088,0.0247,0.3148,0.1688,1.2637,0.0217,2.0655,0.0436,1.8796,0.4583,22.0022,0.0003,,,0.1167,0.0003,0.0282,0.2862,0.258,3.9764,3.9799,110.3048,110.3115,9,0
5.0,0.08,10,11,1,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2.8994,0.0996,-0.3379,0.6429,1.5922,0.1561,2.5662,0.4618,2.9046,3.4627,22.0022,0.0003,,,0.1498,0.0627,0.2814,0.3528,0.0714,4.0752,4.079,114.7184,114.7264,9,0
5.0,0.09,10,11,1,stable,0.9,0.9,0.0,0.1,1.0,0.0,0,0.0,0.0,2.9073,0.5803,0.6535,0.64,2.7346,1.7708,4.021,1.5717,9.7297,12.6296,20.88,3.3663,10.7632,0.0,0.1168,0.0004,0.2258,0.2973,0.0715,4.1413,4.1452,126.5209,126.5353,9,0
5.0,0.1,10,12,2,stable,0.7,0.6,0.1,0.3,1.0,0.0,0,0.0,0.0,2.8455,0.9903,0.5244,0.7733,6.0827,5.021,5.684,1.7781,12.4327,16.1744,18.7558,5.0109,11.175,1.3151,0.1158,0.0029,0.2252,0.2964,0.0712,4.2838,4.2884,145.9604,145.9867,6,0
5.0,0.12,3,12,9,fail,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.7767,0.3454,0.7574,0.4737,10.3646,2.9846,9.3128,1.0678,15.1004,7.0933,11.0209,0.7778,11.0131,0.7752,0.1166,0.0,0.282,0.2002,-0.0818,4.0639,4.0697,181.5741,181.6294,9,0
5.0,0.15,1,11,10,fail,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,0.7181,0.0,-0.4033,0.0,12.2253,0.0,7.5989,0.0,6.4797,0.0,8.1006,0.0,8.0878,0.0,0.1166,0.0,0.0006,0.2502,0.2495,4.0802,4.0834,153.9497,154.0486,15,0
5.0,1.0,0,2,2,none,,,,,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,10.0,0,1,1,none,,,,,,,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,0.0,8,10,2,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.4651,0.0628,0.0016,0.0551,0.7626,0.0896,1.0475,0.15,2.152,0.4773,22.0048,0.0014,,,0.1412,0.065,0.2056,0.2756,0.07,3.5086,3.51,99.8733,99.8807,9,0
7.0,0.05,7,10,3,stable,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,2.2071,0.0436,0.0407,0.0567,0.9723,0.0505,1.332,0.0585,1.1126,0.3983,22.0032,0.0009,,,0.1967,0.0926,0.1991,0.2656,0.0665,3.7075,3.7103,104.1389,104.1459,9,0
7.0,0.07,10,10,0,stable,0.7,0.6,0.1,0.3,1.0,0.0,0,0.0,,2.3195,0.8243,0.1344,0.2586,2.2706,1.3123,3.3785,1.2553,2.8026,3.2823,18.0689,6.011,8.8742,0.1778,0.1586,0.0654,0.222,0.3172,0.0952,3.9192,3.9237,112.9004,112.9087,9,0
