time_sec,swing_phase,nominal_spline_z_m,nominal_spline_vz_mps,perceptive_spline_z_m,perceptive_spline_vz_mps,planned_foot_x_m,planned_foot_y_m,planned_foot_z_m,measured_foot_x_m,measured_foot_y_m,measured_foot_z_m,physical_terrain_height_m,perceived_terrain_height_m
10.764000000,0.248000000,0.240307460,0.947640960,0.240307460,0.947640960,0.614037045,0.145381382,0.297969916,0.604367849,0.156777553,0.278598095,0.100000000,0.130000000
10.766000000,0.256000000,0.242201784,0.946368640,0.242201784,0.946368640,0.615172521,0.145363710,0.296852250,0.604367849,0.156777553,0.278598095,0.100000000,0.130000000
10.768000000,0.264000000,0.244091675,0.943207040,0.244091675,0.943207040,0.616313535,0.145346028,0.295739346,0.605103191,0.156853510,0.276928582,0.100000000,0.130000000
10.770000000,0.272000000,0.245973353,0.938156160,0.245973353,0.938156160,0.617459299,0.145328270,0.294630041,0.606699367,0.156953428,0.273189354,0.100000000,0.130000000
10.772000000,0.280000000,0.247843040,0.931216000,0.247843040,0.931216000,0.618610881,0.145310461,0.293526423,0.607626971,0.156906925,0.271442167,0.100000000,0.130000000
10.774000000,0.288000000,0.249696957,0.922386560,0.249696957,0.922386560,0.619767643,0.145292660,0.292424975,0.608653244,0.156781224,0.269893428,0.100000000,0.130000000
10.776000000,0.296000000,0.251531327,0.911667840,0.251531327,0.911667840,0.620929376,0.145274763,0.291326397,0.609381244,0.156549024,0.269417428,0.100000000,0.130000000
10.778000000,0.304000000,0.253342369,0.899059840,0.253342369,0.899059840,0.622095280,0.145256840,0.290232730,0.609727680,0.156633777,0.268474659,0.100000000,0.130000000
10.780000000,0.312000000,0.255126307,0.884562560,0.255126307,0.884562560,0.623267605,0.145238876,0.289142995,0.611112365,0.156697472,0.266014853,0.100000000,0.130000000
10.782000000,0.320000000,0.256879360,0.868176000,0.256879360,0.868176000,0.624446130,0.145220868,0.288058930,0.612146844,0.156682817,0.264502542,0.100000000,0.130000000
10.784000000,0.328000000,0.258597751,0.849900160,0.258597751,0.849900160,0.625617105,0.145205565,0.287064827,0.613931731,0.156464391,0.262686035,0.100000000,0.130000000
10.786000000,0.336000000,0.260277701,0.829735040,0.260277701,0.829735040,0.626792937,0.145190097,0.286075449,0.614652731,0.156249791,0.262325035,0.100000000,0.130000000
10.788000000,0.344000000,0.261915432,0.807680640,0.261915432,0.807680640,0.627974607,0.145174623,0.285091277,0.615047205,0.156449766,0.261393006,0.100000000,0.130000000
10.790000000,0.352000000,0.263507164,0.783736960,0.263507164,0.783736960,0.629160059,0.145159104,0.284108394,0.617376634,0.156418374,0.259054162,0.100000000,0.130000000
10.792000000,0.360000000,0.265049120,0.757904000,0.265049120,0.757904000,0.630350276,0.145143399,0.283130283,0.618536173,0.156441556,0.257875968,0.100000000,0.130000000
10.794000000,0.368000000,0.266537521,0.730181760,0.266537521,0.730181760,0.631546848,0.145127716,0.282156675,0.618947633,0.156700863,0.256951371,0.100000000,0.130000000
10.796000000,0.376000000,0.267968588,0.700570240,0.267968588,0.700570240,0.632746284,0.145111944,0.281186026,0.619674633,0.156495363,0.256660371,0.100000000,0.130000000
10.798000000,0.384000000,0.269338542,0.669069440,0.269338542,0.669069440,0.633952057,0.145096092,0.280221123,0.621953969,0.156611214,0.254292129,0.100000000,0.130000000
10.800000000,0.392000000,0.270643606,0.635679360,0.270643606,0.635679360,0.635161195,0.145080066,0.279257424,0.623102611,0.156645815,0.253184171,0.100000000,0.130000000
10.802000000,0.400000000,0.271880000,0.600400000,0.271880000,0.600400000,0.636375029,0.145064063,0.278298658,0.624237336,0.156670350,0.252089622,0.100000000,0.130000000
10.804000000,0.408000000,0.273043946,0.563231360,0.273043946,0.563231360,0.637564014,0.145043421,0.277366778,0.624237336,0.156670350,0.252089622,0.100000000,0.130000000
